grid_x,grid_y,foot_traffic,count,foot_count,x_5179,y_5179,geometry,lat,lon
37,15,0.0781150893811495,2,1443.2554164713786,960438.9228871616,1941696.2931122007,POINT (127.05258465055508 37.47364393486505),37.47364393486505,127.05258465055508
37,16,0.1095164571658638,1,2023.427499726209,960438.9228871616,1941796.2931122007,POINT (127.052579277465 37.47454527794405),37.47454527794405,127.052579277465
37,17,0.0634780255566274,3,1172.8208331746382,960438.9228871616,1941896.2931122007,POINT (127.05257390413563 37.47544662088456),37.47544662088456,127.05257390413563
37,18,0.067623881503506,3,1249.4197220531619,960438.9228871616,1941996.2931122007,POINT (127.05256853056689 37.476347963686564),37.476347963686564,127.05256853056689
37,19,0.0271939530424712,1,502.43583326534673,960438.9228871616,1942096.2931122007,POINT (127.05256315675885 37.477249306350075),37.477249306350075,127.05256315675885
37,20,0.0149599825169713,1,276.40083329593233,960438.9228871616,1942196.2931122007,POINT (127.05255778271142 37.478150648875086),37.478150648875086,127.05255778271142
37,21,0.02687385332038,2,496.5216665994811,960438.9228871616,1942296.2931122007,POINT (127.05255240842467 37.479051991261585),37.479051991261585,127.05255240842467
37,22,0.0332660715730033,4,614.6243749168332,960438.9228871616,1942396.2931122007,POINT (127.05254703389853 37.47995333350958),37.47995333350958,127.05254703389853
37,23,0.0691416978340486,4,1277.4629164938117,960438.9228871616,1942496.2931122007,POINT (127.05254165913301 37.48085467561907),37.48085467561907,127.05254165913301
37,24,0.0450028321067598,4,831.4729165541585,960438.9228871616,1942596.2931122007,POINT (127.0525362841281 37.481756017590044),37.481756017590044,127.0525362841281
37,25,0.0380329842760201,4,702.6979165715836,960438.9228871616,1942696.2931122007,POINT (127.0525309088838 37.48265735942252),37.48265735942252,127.0525309088838
37,26,0.0641071971887694,4,1184.4454165063985,960438.9228871616,1942796.2931122007,POINT (127.05252553340006 37.48355870111647),37.48355870111647,127.05252553340006
37,27,0.0575265251297732,2,1062.8608331895157,960438.9228871616,1942896.2931122007,POINT (127.0525201576769 37.48446004267194),37.48446004267194,127.0525201576769
37,28,0.0541926078185405,4,1001.2633331978504,960438.9228871616,1942996.2931122007,POINT (127.0525147817143 37.48536138408887),37.48536138408887,127.0525147817143
37,29,0.056914966424428,4,1051.5616665243786,960438.9228871616,1943096.2931122007,POINT (127.05250940551223 37.486262725367304),37.486262725367304,127.05250940551223
37,30,0.1288322563006045,4,2380.306458011252,960438.9228871616,1943196.2931122007,POINT (127.05250402907075 37.48716406650722),37.48716406650722,127.05250402907075
37,31,0.1532470879500597,4,2831.3952079502146,960438.9228871616,1943296.2931122007,POINT (127.05249865238974 37.48806540750862),37.48806540750862,127.05249865238974
37,32,0.1712566213244305,4,3164.1395829051917,960438.9228871616,1943396.2931122007,POINT (127.05249327546929 37.4889667483715),37.4889667483715,127.05249327546929
37,33,0.1750385519567189,4,3234.0145828957366,960438.9228871616,1943496.2931122007,POINT (127.05248789830932 37.48986808909588),37.48986808909588,127.05248789830932
37,34,0.0954758085379237,4,1764.012291427976,960438.9228871616,1943596.2931122007,POINT (127.05248252090985 37.49076942968173),37.49076942968173,127.05248252090985
37,35,0.0960561894311095,4,1774.7354164265248,960438.9228871616,1943696.2931122007,POINT (127.05247714327086 37.49167077012905),37.49167077012905,127.05247714327086
37,36,0.0922778332532351,4,1704.9264581026387,960438.9228871616,1943796.2931122007,POINT (127.05247176539235 37.492572110437855),37.492572110437855,127.05247176539235
37,37,0.0682879670231886,4,1261.6893748292798,960438.9228871616,1943896.2931122007,POINT (127.05246638727431 37.493473450608136),37.493473450608136,127.05246638727431
37,38,0.08991251415701,4,1661.2247914418838,960438.9228871616,1943996.2931122007,POINT (127.0524610089167 37.49437479063989),37.49437479063989,127.0524610089167
37,39,0.1224825593968612,4,2262.9893746937933,960438.9228871616,1944096.2931122007,POINT (127.05245563031953 37.495276130533135),37.495276130533135,127.05245563031953
37,40,0.2749271992448136,4,5079.558540979348,960438.9228871616,1944196.2931122007,POINT (127.05245025148277 37.496177470287854),37.496177470287854,127.05245025148277
37,41,0.2439733035388463,4,4507.6539577234,960438.9228871616,1944296.2931122007,POINT (127.05244487240645 37.49707880990403),37.49707880990403,127.05244487240645
37,42,0.2009744549078234,4,3713.20666616423,960438.9228871616,1944396.2931122007,POINT (127.05243949309053 37.49798014938169),37.49798014938169,127.05243949309053
37,43,0.1508253556190305,4,2786.6512496229366,960438.9228871616,1944496.2931122007,POINT (127.052434113535 37.498881488720805),37.498881488720805,127.052434113535
37,44,0.1237047972888,4,2285.5714580240715,960438.9228871616,1944596.2931122007,POINT (127.05242873373986 37.49978282792139),37.49978282792139,127.05242873373986
37,45,0.1589851133896435,4,2937.411041269204,960438.9228871616,1944696.2931122007,POINT (127.05242335370505 37.50068416698346),37.50068416698346,127.05242335370505
37,46,0.1514627811963807,2,2798.428332954676,960438.9228871616,1944796.2931122007,POINT (127.05241797343064 37.501585505906995),37.501585505906995,127.05241797343064
37,47,0.1364182521204323,4,2520.4654163256205,960438.9228871616,1944896.2931122007,POINT (127.05241259291657 37.50248684469199),37.50248684469199,127.05241259291657
37,48,0.2753125186651074,4,5086.677707645051,960438.9228871616,1944996.2931122007,POINT (127.05240721216283 37.50338818333845),37.50338818333845,127.05240721216283
37,49,0.5375764520265426,4,9932.269581989392,960438.9228871616,1945096.2931122007,POINT (127.05240183116943 37.50428952184637),37.50428952184637,127.05240183116943
37,50,0.2598104047532344,4,4800.260447582796,960438.9228871616,1945196.2931122007,POINT (127.05239644993632 37.50519086021576),37.50519086021576,127.05239644993632
37,51,0.3733835112927281,4,6898.638654369572,960438.9228871616,1945296.2931122007,POINT (127.05239106846352 37.506092198446616),37.506092198446616,127.05239106846352
37,52,0.3113590305675611,6,5752.673534575138,960438.9228871616,1945396.2931122007,POINT (127.05238568675102 37.50699353653892),37.50699353653892,127.05238568675102
