geometry_wkt,building_area_total,building_count
"POLYGON ((957800 1945600, 957800 1945700, 957900 1945700, 957900 1945600, 957800 1945600))",132.36,3
"POLYGON ((957800 1945700, 957800 1945800, 957900 1945800, 957900 1945700, 957800 1945700))",303.37,1
"POLYGON ((957800 1945800, 957800 1945900, 957900 1945900, 957900 1945800, 957800 1945800))",311.19,0
"POLYGON ((957800 1945900, 957800 1946000, 957900 1946000, 957900 1945900, 957800 1945900))",235.97,1
"POLYGON ((957800 1946000, 957800 1946100, 957900 1946100, 957900 1946000, 957800 1946000))",285.85,2
"POLYGON ((957800 1946100, 957800 1946200, 957900 1946200, 957900 1946100, 957800 1946100))",245.43,5
"POLYGON ((957800 1946200, 957800 1946300, 957900 1946300, 957900 1946200, 957800 1946200))",3272.32,0
"POLYGON ((957800 1946300, 957800 1946400, 957900 1946400, 957900 1946300, 957800 1946300))",741.93,0
"POLYGON ((957800 1946400, 957800 1946500, 957900 1946500, 957900 1946400, 957800 1946400))",164.9,9
"POLYGON ((957800 1946500, 957800 1946600, 957900 1946600, 957900 1946500, 957800 1946500))",488.74,0
"POLYGON ((957800 1946600, 957800 1946700, 957900 1946700, 957900 1946600, 957800 1946600))",173.52,0
"POLYGON ((957800 1946700, 957800 1946800, 957900 1946800, 957900 1946700, 957800 1946700))",220.73,0
"POLYGON ((957800 1946800, 957800 1946900, 957900 1946900, 957900 1946800, 957800 1946800))",175.72,1
"POLYGON ((957800 1946900, 957800 1947000, 957900 1947000, 957900 1946900, 957800 1946900))",133.78,3
"POLYGON ((957800 1947000, 957800 1947100, 957900 1947100, 957900 1947000, 957800 1947000))",158.01,6
"POLYGON ((957800 1947100, 957800 1947200, 957900 1947200, 957900 1947100, 957800 1947100))",181.41,2
"POLYGON ((957800 1947200, 957800 1947300, 957900 1947300, 957900 1947200, 957800 1947200))",211.47,0
"POLYGON ((957800 1947300, 957800 1947400, 957900 1947400, 957900 1947300, 957800 1947300))",622.42,0
"POLYGON ((957800 1947400, 957800 1947500, 957900 1947500, 957900 1947400, 957800 1947400))",0.0,0
"POLYGON ((957800 1947500, 957800 1947600, 957900 1947600, 957900 1947500, 957800 1947500))",914.34,0
"POLYGON ((957800 1947600, 957800 1947700, 957900 1947700, 957900 1947600, 957800 1947600))",739.06,0
"POLYGON ((957800 1947700, 957800 1947800, 957900 1947800, 957900 1947700, 957800 1947700))",1097.72,0
"POLYGON ((957800 1947800, 957800 1947900, 957900 1947900, 957900 1947800, 957800 1947800))",917.98,0
"POLYGON ((957800 1947900, 957800 1948000, 957900 1948000, 957900 1947900, 957800 1947900))",0.0,0
"POLYGON ((957800 1948000, 957800 1948100, 957900 1948100, 957900 1948000, 957800 1948000))",0.0,0
"POLYGON ((957800 1948100, 957800 1948200, 957900 1948200, 957900 1948100, 957800 1948100))",0.0,0
"POLYGON ((957800 1948200, 957800 1948300, 957900 1948300, 957900 1948200, 957800 1948200))",0.0,0
"POLYGON ((957800 1948300, 957800 1948400, 957900 1948400, 957900 1948300, 957800 1948300))",0.0,0
"POLYGON ((957800 1948400, 957800 1948500, 957900 1948500, 957900 1948400, 957800 1948400))",0.0,0
"POLYGON ((957800 1948500, 957800 1948600, 957900 1948600, 957900 1948500, 957800 1948500))",0.0,0
"POLYGON ((957800 1948600, 957800 1948700, 957900 1948700, 957900 1948600, 957800 1948600))",0.0,0
"POLYGON ((957900 1945000, 957900 1945100, 958000 1945100, 958000 1945000, 957900 1945000))",0.0,0
"POLYGON ((957900 1945100, 957900 1945200, 958000 1945200, 958000 1945100, 957900 1945100))",479.72,0
"POLYGON ((957900 1945200, 957900 1945300, 958000 1945300, 958000 1945200, 957900 1945200))",412.93,0
"POLYGON ((957900 1945300, 957900 1945400, 958000 1945400, 958000 1945300, 957900 1945300))",227.29,1
"POLYGON ((957900 1945400, 957900 1945500, 958000 1945500, 958000 1945400, 957900 1945400))",136.56,10
