연번,자치구명,설치위치(도로명 주소),세부 위치,설치 장소 유형,수거 쓰레기 종류,lat1,lon1,snapped_geometry,geometry,lat,lng,grid_x,grid_y
4840,강남구,도곡로 175,창림빌딩앞 버스정류장(23-291),"정류소(버스,택시 등)",일반쓰레기,37.4919384954051,127.03855986743,POINT (959216.3835233912 1943712.1504913776),POINT (127.03864705737077 37.49176050311735),37.49176050311735,127.03864705737077,63519,18745
4841,강남구,도곡로 175,창림빌딩앞 버스정류장(23-291),"정류소(버스,택시 등)",재활용쓰레기,37.4919384954051,127.03855986743,POINT (959216.3835233912 1943712.1504913776),POINT (127.03864705737077 37.49176050311735),37.49176050311735,127.03864705737077,63519,18745
4842,강남구,도곡로 121,아우디도곡전시장 버스정류장(23-294),"정류소(버스,택시 등)",일반쓰레기,37.4903910132639,127.03354679077,POINT (958771.5909375323 1943543.8579401812),POINT (127.03362505229106 37.490223862490495),37.490223862490495,127.03362505229106,63516,18745
4843,강남구,도곡로 121,아우디도곡전시장 버스정류장(23-294),"정류소(버스,택시 등)",재활용쓰레기,37.4903910132639,127.03354679077,POINT (958771.5909375323 1943543.8579401812),POINT (127.03362505229106 37.490223862490495),37.490223862490495,127.03362505229106,63516,18745
4844,강남구,도곡로 112,서한빌딩앞 버스정류장(23-321),"정류소(버스,택시 등)",일반쓰레기,37.4896537373705,127.032839070004,POINT (958693.2919008242 1943503.9093610588),POINT (127.03274160502322 37.489860291022964),37.489860291022964,127.03274160502322,63516,18744
4845,강남구,도곡로 112,서한빌딩앞버스정류장(23-321),"정류소(버스,택시 등)",재활용쓰레기,37.4896537373705,127.032839070004,POINT (958693.2919008242 1943503.9093610588),POINT (127.03274160502322 37.489860291022964),37.489860291022964,127.03274160502322,63516,18744
4846,강남구,도곡로 176,크리스빌딩앞 버스정류장(23-314),"정류소(버스,택시 등)",일반쓰레기,37.4914491505786,127.038858477647,POINT (959224.5012806411 1943704.558853611),POINT (127.03873930523606 37.49169243531589),37.49169243531589,127.03873930523606,63519,18745
4847,강남구,도곡로 176,크리스빌딩앞 버스정류장(23-314),"정류소(버스,택시 등)",재활용쓰레기,37.4914491505786,127.038858477647,POINT (959224.5012806411 1943704.558853611),POINT (127.03873930523606 37.49169243531589),37.49169243531589,127.03873930523606,63519,18745
4848,강남구,도곡로 214,롤스웰빌딩앞 버스정류장(23-315),"정류소(버스,택시 등)",일반쓰레기,37.4924616496392,127.042417574623,POINT (959536.6928273567 1943823.213105162),POINT (127.04226424899724 37.49277564780002),37.49277564780002,127.04226424899724,63521,18746
4849,강남구,도곡로 214,롤스웰빌딩앞 버스정류장(23-315),"정류소(버스,택시 등)",재활용쓰레기,37.4924616496392,127.042417574623,POINT (959536.6928273567 1943823.213105162),POINT (127.04226424899724 37.49277564780002),37.49277564780002,127.04226424899724,63521,18746
4850,강남구,도곡로43길 21,래미안그레이튼아파트 버스정류장(23-330),"정류소(버스,택시 등)",일반쓰레기,37.4957277729688,127.047011616273,POINT (959959.9718148661 1944143.5895713554),POINT (127.04703495837614 37.495681781868655),37.495681781868655,127.04703495837614,63523,18747
4851,강남구,도곡로43길 21,래미안그레이튼아파트 버스정류장(23-330),"정류소(버스,택시 등)",재활용쓰레기,37.4957277729688,127.047011616273,POINT (959959.9718148661 1944143.5895713554),POINT (127.04703495837614 37.495681781868655),37.495681781868655,127.04703495837614,63523,18747
4854,강남구,도곡로 404,한티역 3번출구앞 버스정류장(23-222),"정류소(버스,택시 등)",일반쓰레기,37.4961855830196,127.053553804427,POINT (960525.2869259691 1944225.3729028588),POINT (127.05342568957391 37.496443275305644),37.496443275305644,127.05342568957391,63526,18748
4855,강남구,도곡로 404,한티역3 번출구앞 버스정류장(23-222),"정류소(버스,택시 등)",재활용쓰레기,37.4961855830196,127.053553804427,POINT (960525.2869259691 1944225.3729028588),POINT (127.05342568957391 37.496443275305644),37.496443275305644,127.05342568957391,63526,18748
4856,강남구,삼성로 212,(남부순환로) 은마아파트2동 앞 버스정류장(23-237),"정류소(버스,택시 등)",일반쓰레기,37.4996157705058,127.065915414443,POINT (961628.1709694364 1944579.289830417),POINT (127.06588373056907 37.49967977893563),37.49967977893563,127.06588373056907,63532,18749
4857,강남구,삼성로 212,(남부순환로) 은마아파트2동 앞 버스정류장(23-237),"정류소(버스,택시 등)",재활용쓰레기,37.4996157705058,127.065915414443,POINT (961628.1709694364 1944579.289830417),POINT (127.06588373056907 37.49967977893563),37.49967977893563,127.06588373056907,63532,18749
4858,강남구,남부순환로 2935,대치프라자 앞 버스정류장(23-226),"정류소(버스,택시 등)",일반쓰레기,37.4939940652114,127.061334443036,POINT (961233.5387583988 1943932.58506688),POINT (127.06145330158768 37.493834274819825),37.493834274819825,127.06145330158768,63530,18746
4859,강남구,남부순환로 2935,대치프라자 앞 버스정류장(23-226),"정류소(버스,택시 등)",재활용쓰레기,37.4939940652114,127.061334443036,POINT (961233.5387583988 1943932.58506688),POINT (127.06145330158768 37.493834274819825),37.493834274819825,127.06145330158768,63530,18746
4860,강남구,남부순환로 2913,동하빌딩 앞 버스정류장(23-227),"정류소(버스,택시 등)",일반쓰레기,37.492752188617,127.058529415562,POINT (960988.3037752289 1943789.8736413768),POINT (127.05868671761215 37.49253762763448),37.49253762763448,127.05868671761215,63529,18746
4861,강남구,남부순환로 2913,동하빌딩 앞 버스정류장(23-227),"정류소(버스,택시 등)",재활용쓰레기,37.492752188617,127.058529415562,POINT (960988.3037752289 1943789.8736413768),POINT (127.05868671761215 37.49253762763448),37.49253762763448,127.05868671761215,63529,18746
